user,start,end,hrv_label,a_label,v_label,sum
12,2190,2220,0,0,1,5.415124348590513
12,2160,2190,1,0,1,2.5626646559210067
12,2610,2640,0,0,0,2.4588105298131016
12,1950,1980,1,1,0,2.371525154688247
12,1710,1740,1,1,1,2.303962453533751
12,240,270,1,1,1,2.297053400792125
12,2730,2760,0,1,0,2.2224125016320286
12,1380,1410,1,0,0,2.1766542449469033
12,1440,1470,1,1,1,2.172019655081665
12,750,780,0,1,1,2.126932271375094
12,2490,2520,1,1,0,2.067466727679107
12,1860,1890,1,1,0,2.0524040267596773
12,2370,2400,1,0,1,2.031859808005836
12,1920,1950,1,0,0,2.0311900608029294
12,2220,2250,0,0,1,2.0260301026406617
12,90,120,0,1,0,1.98419237775818
12,2700,2730,1,1,0,1.9726694312016373
12,1800,1830,1,1,0,1.9177833609209147
12,2790,2820,1,0,0,1.916103675668705
12,2640,2670,1,1,0,1.86491435546248
12,2910,2940,1,0,1,1.8591011651051408
12,2550,2580,0,0,0,1.8055046402161266
12,2820,2850,1,0,0,1.7860396741109132
12,3000,3030,1,0,1,1.7408706174497806
12,660,690,0,1,1,1.7158497011311378
12,2340,2370,0,1,1,1.70154640709362
12,1890,1920,0,1,0,1.693154944243383
12,1410,1440,1,0,0,1.6465857714523837
12,1680,1710,1,1,1,1.6302274923523803
12,2580,2610,0,0,0,1.6161045300083732
12,690,720,0,1,1,1.6048926906245873
12,2430,2460,0,0,0,1.567208964275427
12,1170,1200,0,1,0,1.5613132794208555
12,2520,2550,1,0,0,1.5498885075088729
12,1140,1170,1,0,1,1.5345943727170357
12,780,810,1,0,1,1.4445426147208786
12,1560,1590,0,1,1,1.3873954247409885
12,900,930,0,1,1,1.3528212011909324
12,960,990,0,1,1,1.3473561017438498
12,0,30,0,1,0,1.3395528314668286
12,2250,2280,0,1,0,1.2346554850384952
12,210,240,0,1,1,1.233860389223641
12,1320,1350,0,1,1,1.2262497455950598
12,1230,1260,0,1,1,1.1902831692529485
12,1530,1560,0,1,1,1.1562220471851776
12,1350,1380,0,0,0,1.1277100143640564
12,2460,2490,1,0,0,1.1064548134281826
12,2070,2100,1,1,0,1.077520020768957
12,930,960,0,1,1,1.0683024853654803
12,2760,2790,0,1,0,1.0527215175002893
12,1590,1620,0,1,0,1.0479002008136091
12,2400,2430,0,1,0,1.02484396709365
12,1740,1770,0,1,0,1.0203605858322233
12,1770,1800,0,1,0,1.0089618051181821
12,1200,1230,0,0,0,0.9892882522536324
12,1830,1860,0,1,0,0.9521311411945821
12,1620,1650,0,1,1,0.9502484167809585
12,1110,1140,1,1,0,0.9449262214721776
12,2310,2340,1,1,1,0.9328991812796565
12,1500,1530,0,1,0,0.930506272263666
12,1650,1680,0,1,0,0.919197499184738
12,120,150,0,1,0,0.8980037927545303
12,2100,2130,0,0,1,0.8788428746997745
12,2130,2160,1,0,1,0.8298078445069952
12,30,60,0,1,0,0.802023131143947
12,180,210,0,1,0,0.7910569890708987
12,720,750,0,1,1,0.7474914904268738
12,870,900,1,1,0,0.7443738017505538
12,60,90,1,1,0,0.6637055065795319
12,810,840,0,0,1,0.6519682911436899
12,2040,2070,1,1,0,0.6364293142331905
12,990,1020,0,1,1,0.6259558167480597
12,1470,1500,1,1,1,0.6207679872508505
12,1980,2010,0,0,0,0.5969679812755789
12,2010,2040,1,1,0,0.5822915932843196
12,1020,1050,1,1,0,0.5732382090170669
12,1260,1290,1,1,0,0.5648155487330622
12,150,180,1,1,1,0.5530146601729348
12,2280,2310,0,0,0,0.5022200843301131
12,840,870,1,0,1,0.4295475684630215
12,510,540,1,1,1,0.3895101090934979
12,480,510,1,1,1,0.3895101090934979
12,600,630,1,1,1,0.3895101090934979
12,570,600,1,1,1,0.3895101090934979
12,1050,1080,1,1,1,0.3895101090934979
12,270,300,1,1,1,0.3895101090934979
12,300,330,1,1,1,0.3895101090934979
12,540,570,1,1,1,0.3895101090934979
12,330,360,1,1,1,0.3895101090934979
12,360,390,1,1,1,0.3895101090934979
12,630,660,1,1,1,0.3895101090934979
12,390,420,1,1,1,0.3895101090934979
12,420,450,1,1,1,0.3895101090934979
12,450,480,1,1,1,0.3895101090934979
12,2670,2700,1,0,0,0.34001112426716973
12,1080,1110,1,1,1,0.30547287878785123
12,1290,1320,0,1,1,0.20575812366252083
12,3030,3060,0,0,1,
