user,start,end,hrv_label,a_label,v_label,sum
00,2550,2580,1,1,0,2.176509453987084
00,2730,2760,0,0,0,1.9463650756790911
00,2100,2130,1,0,1,1.870585807520267
00,2190,2220,1,1,0,1.853520167945792
00,1290,1320,0,1,1,1.7227622610103515
00,2430,2460,0,0,0,1.6751614564729813
00,1980,2010,1,0,0,1.5895359713558732
00,2040,2070,1,0,0,1.564015453636442
00,2520,2550,1,1,0,1.550014334196823
00,960,990,1,1,1,1.512110543856403
00,1860,1890,0,0,0,1.4913283435230547
00,2670,2700,1,0,0,1.4686902758817577
00,2370,2400,1,0,0,1.463498977401282
00,660,690,1,0,1,1.4265988723725662
00,2700,2730,0,0,0,1.407895010418838
00,2460,2490,0,0,0,1.3840611655866832
00,1020,1050,0,0,1,1.35532152175462
00,1110,1140,1,0,1,1.313597991911061
00,2400,2430,1,0,0,1.3091449487669742
00,2160,2190,0,0,0,1.2902831857672046
00,0,30,1,0,1,1.1919572174117925
00,240,270,0,0,1,1.1736384708103602
00,1620,1650,1,0,0,1.1511212815880978
00,270,300,0,0,1,1.1464438037907283
00,300,330,0,0,1,1.1464438037907283
00,630,660,0,0,1,1.1464438037907283
00,600,630,0,0,1,1.1464438037907283
00,570,600,0,0,1,1.1464438037907283
00,540,570,0,0,1,1.1464438037907283
00,510,540,0,0,1,1.1464438037907283
00,480,510,0,0,1,1.1464438037907283
00,450,480,0,0,1,1.1464438037907283
00,390,420,0,0,1,1.1464438037907283
00,1050,1080,0,0,1,1.1464438037907283
00,360,390,0,0,1,1.1464438037907283
00,330,360,0,0,1,1.1464438037907283
00,420,450,0,0,1,1.1464438037907283
00,1140,1170,0,0,1,1.1343440887504916
00,1470,1500,1,1,1,1.1111187947615722
00,2820,2850,1,1,0,1.0952781508540617
00,1080,1110,0,0,1,1.0935663821785668
00,750,780,1,1,1,1.0741517926050197
00,2490,2520,0,1,0,1.045736975637467
00,1590,1620,1,0,0,1.0124851428134767
00,2130,2160,0,0,0,0.998367464298533
00,1650,1680,0,0,0,0.9756188918386242
00,1920,1950,0,0,1,0.9752331428890717
00,1830,1860,0,0,0,0.9714426141557281
00,1890,1920,1,0,1,0.962095370534814
00,2250,2280,0,0,1,0.942183738392668
00,2610,2640,0,0,0,0.9338721170585726
00,150,180,1,1,1,0.9246576351530527
00,1710,1740,0,1,1,0.9190440503325837
00,2280,2310,0,0,1,0.9009225943712833
00,2790,2820,1,0,0,0.8996049538724804
00,870,900,0,0,1,0.8984322324855634
00,1530,1560,0,1,1,0.8720635505338334
00,2010,2040,0,0,0,0.8327154258057966
00,1350,1380,0,1,1,0.8314508493351356
00,210,240,1,0,1,0.782042103544084
00,1410,1440,1,1,0,0.7816468879910955
00,1200,1230,0,0,1,0.7796056762963024
00,2310,2340,1,0,1,0.7747479099500605
00,30,60,0,0,1,0.7652236983338749
00,1740,1770,0,0,1,0.7633432930431423
00,120,150,0,1,1,0.7580677237348739
00,1170,1200,1,0,1,0.7533937193344868
00,1320,1350,0,0,1,0.7383693629934966
00,2640,2670,1,0,0,0.7048062895402958
00,1440,1470,0,0,0,0.667424325892466
00,180,210,1,1,1,0.6633659699924325
00,2760,2790,1,0,0,0.6600830377267444
00,2580,2610,1,1,0,0.6510335460973221
00,2340,2370,1,0,0,0.6493428256315066
00,2070,2100,1,0,0,0.6460604996552515
00,1800,1830,1,1,0,0.6333289457107889
00,1770,1800,1,1,0,0.6106537482319471
00,60,90,1,0,1,0.6058309623556979
00,720,750,1,1,0,0.5966646748705875
00,1230,1260,1,1,1,0.5727619516341166
00,900,930,1,0,1,0.5684146947498997
00,780,810,1,1,0,0.5650925226754046
00,930,960,0,0,1,0.5259024360010804
00,690,720,1,1,0,0.5204752385277499
00,1380,1410,0,1,1,0.5202154821391863
00,810,840,1,1,0,0.477457531805897
00,2220,2250,1,1,0,0.4692561976054777
00,1500,1530,0,1,1,0.4470009920470761
00,1560,1590,1,1,1,0.42347299573827457
00,1950,1980,0,0,0,0.40995237744364
00,840,870,1,1,0,0.3951255278359438
00,990,1020,0,0,0,0.3596753688939056
00,1260,1290,0,1,1,0.2982845641054432
00,90,120,1,0,1,0.2023726445802042
00,1680,1710,1,1,1,0.07973323446318231
00,3030,3060,0,1,1,
