user,start,end,hrv_label,a_label,v_label,sum
01,1200,1230,1,1,0,3.297101163914957
01,2190,2220,1,1,0,3.126351938164381
01,720,750,1,0,1,3.0531841532140227
01,2880,2910,0,0,0,2.714860895580604
01,1140,1170,0,1,0,2.579760872160084
01,2850,2880,0,0,0,2.459859853510084
01,2970,3000,0,0,1,2.393487894341257
01,1560,1590,1,0,1,2.3086542126740244
01,840,870,0,1,1,2.2241854669390166
01,1980,2010,0,1,0,2.2138405666504584
01,900,930,1,1,1,2.1679260431449423
01,1230,1260,0,1,0,2.107050233851348
01,870,900,0,1,0,2.0904243592168665
01,0,30,0,1,0,2.0327405034080175
01,60,90,0,1,1,2.0011165683960237
01,2460,2490,0,0,0,1.978433589195146
01,2130,2160,0,1,1,1.9148107905025236
01,90,120,1,1,1,1.8954783473596644
01,2520,2550,0,1,1,1.858088114284981
01,2940,2970,1,0,1,1.7453169822149959
01,1800,1830,0,0,1,1.7279584140398856
01,2220,2250,0,1,0,1.7025240887732314
01,1470,1500,0,0,1,1.6986088627605151
01,1860,1890,0,1,0,1.6936168848287818
01,2730,2760,1,0,1,1.683164630568148
01,2550,2580,0,1,1,1.6801028264576254
01,2010,2040,1,1,0,1.6490007373375712
01,1170,1200,1,1,0,1.6460961976958897
01,810,840,1,1,0,1.5743468626084351
01,2400,2430,0,0,1,1.560344958315696
01,960,990,0,1,1,1.536906636138243
01,780,810,0,1,1,1.5212707200495408
01,2040,2070,0,0,0,1.5049695096547662
01,1110,1140,1,1,0,1.4929603697488443
01,1950,1980,0,1,0,1.4778013302839914
01,660,690,1,1,1,1.4647821988232275
01,180,210,1,1,0,1.4362408800814248
01,2910,2940,1,0,1,1.433115602924652
01,1380,1410,0,1,1,1.4265802242925278
01,2100,2130,1,1,0,1.4249860081186094
01,2700,2730,1,0,1,1.410882436939251
01,210,240,0,1,0,1.402744558738664
01,930,960,0,1,1,1.3900565894279608
01,1830,1860,1,1,0,1.37540161537914
01,1320,1350,0,1,0,1.3620539471466286
01,2580,2610,0,0,1,1.3544277612596507
01,1410,1440,0,0,1,1.3519830700475763
01,1530,1560,1,0,1,1.3390523967166317
01,1770,1800,1,0,1,1.3187439324405883
01,2070,2100,1,1,0,1.2806836240396782
01,3000,3030,0,0,1,1.2234945603236929
01,2250,2280,0,0,0,1.2214101056299234
01,1920,1950,0,1,0,1.213313046195396
01,690,720,1,1,1,1.199281313203717
01,150,180,1,0,1,1.1869839191516853
01,1500,1530,0,0,1,1.183880114746129
01,2160,2190,1,1,0,1.1491906875183364
01,2370,2400,0,0,0,1.0998601462183526
01,1710,1740,1,0,1,1.095659198705866
01,750,780,0,1,1,1.0907827802299952
01,990,1020,1,1,0,1.0883037584166106
01,1680,1710,1,0,0,1.0787413761631883
01,30,60,1,1,0,1.055266546569331
01,2610,2640,1,1,1,1.0308293563455346
01,2760,2790,1,0,1,1.0214587026079571
01,1080,1110,1,1,1,0.9445985334900802
01,1590,1620,1,1,1,0.9379095889382218
01,1890,1920,0,1,0,0.9103405403907479
01,1440,1470,0,0,1,0.9031505737449657
01,510,540,1,1,1,0.8961756628380061
01,270,300,1,1,1,0.8961756628380061
01,300,330,1,1,1,0.8961756628380061
01,330,360,1,1,1,0.8961756628380061
01,360,390,1,1,1,0.8961756628380061
01,390,420,1,1,1,0.8961756628380061
01,420,450,1,1,1,0.8961756628380061
01,450,480,1,1,1,0.8961756628380061
01,480,510,1,1,1,0.8961756628380061
01,1050,1080,1,1,1,0.8961756628380061
01,540,570,1,1,1,0.8961756628380061
01,570,600,1,1,1,0.8961756628380061
01,600,630,1,1,1,0.8961756628380061
01,630,660,1,1,1,0.8961756628380061
01,1020,1050,1,1,1,0.8849021946649523
01,2490,2520,1,0,1,0.8737151286161461
01,2640,2670,1,0,0,0.8505992717499427
01,2820,2850,0,0,0,0.8463766967741668
01,2280,2310,0,0,0,0.8321797526098735
01,2430,2460,1,0,0,0.8314458853815839
01,240,270,0,0,1,0.801291749839641
01,2790,2820,0,1,0,0.7489203908198259
01,1650,1680,1,0,0,0.7373426578141792
01,1740,1770,1,0,0,0.7258679744914363
01,2340,2370,0,0,1,0.7226384102635206
01,1350,1380,1,1,1,0.5654832912378357
01,2670,2700,1,1,1,0.5409061149022587
01,1290,1320,1,0,1,0.4811815675499085
01,1260,1290,0,1,0,0.4093578383688472
01,120,150,0,1,1,0.3588050005130154
01,1620,1650,0,1,0,0.3200246580538488
01,2310,2340,1,1,0,0.14698191949973252
01,3030,3060,0,0,1,
